set STUDENTS := 1..200;
set ROOMS := 1..100;

param roomRanking := 
   3 79 84
   3 80 86
   3 81 90
   3 82 68
   3 83 12
   3 84 70
   3 85 8
   3 86 82
   3 87 15
   3 88 93
   3 89 67
   3 90 43
   3 91 59
   3 92 21
   3 93 67
   3 94 55
   3 95 3
   3 96 18
   3 97 9
   3 98 87
   3 99 37
   3 100 61
   4 1 56
   4 2 63
   4 3 96
   4 4 69
   4 5 37
   4 6 13
   4 7 24
   4 8 10
   4 9 23
   4 10 2
   4 11 26
   4 12 68
   4 13 75
   4 14 41
   4 15 9
   4 16 3
   4 17 36
   4 18 10
   4 19 78
   4 20 65
   4 21 46
   4 22 53
   4 23 6
   4 24 20
   4 25 10
   4 26 44
   4 27 90
   4 28 74
   4 29 68
   4 30 44
   4 31 20
   4 32 60
   4 33 27
   4 34 66
   4 35 85
   4 36 71
   4 37 30
   4 38 32
   4 39 53
   4 40 81
   4 41 64
   4 42 95
   4 43 55
   4 44 40
   4 45 82
   4 46 37
   4 47 46
   4 48 2
   4 49 90
   4 50 97
   4 51 30
   4 52 31
   4 53 41
   4 54 36
   4 55 73
   4 56 25
   4 57 98
   4 58 43
   4 59 20
   4 60 85
   4 61 84
   4 62 63
   4 63 65
   4 64 42
   4 65 49
   4 66 24
   4 67 2
   4 68 41
   4 69 41
   4 70 37
   4 71 1
   4 72 60
   4 73 38
   4 74 9
   4 75 2
   4 76 96
   4 77 7
   4 78 16
   4 79 39
   4 80 58
   4 81 61
   4 82 96
   4 83 57
   4 84 83
   4 85 2
   4 86 84
   4 87 94
   4 88 90
   4 89 42
   4 90 73
   4 91 82
   4 92 57
   4 93 21
   4 94 81
   4 95 22
   4 96 67
   4 97 53
   4 98 7
   4 99 85
   4 100 52
   5 1 90
   5 2 59
   5 3 94
   5 4 99
   5 5 91
   5 6 74
   5 7 91
   5 8 50
   5 9 25
   5 10 75
   5 11 60
   5 12 45
   5 13 46
   5 14 6
   5 15 37
   5 16 84
   5 17 22
   5 18 80
   5 19 7
   5 20 11
   5 21 6
   5 22 37
   5 23 30
   5 24 8
   5 25 53
   5 26 74
   5 27 29
   5 28 14
   5 29 47
   5 30 90
   5 31 73
   5 32 41
   5 33 44
   5 34 68
   5 35 35
   5 36 17
   5 37 96
   5 38 33
   5 39 20
   5 40 67
   5 41 63
   5 42 25
   5 43 79
   5 44 17
   5 45 49
   5 46 99
   5 47 31
   5 48 4
   5 49 75
   5 50 88
   5 51 13
   5 52 67
   5 53 90
   5 54 15
   5 55 83
   5 56 62
   5 57 34
   5 58 27
   5 59 13
   5 60 78
   5 61 86
   5 62 36
   5 63 62
   5 64 2
   5 65 53
   5 66 31
   5 67 49
   5 68 28
   5 69 5
   5 70 98
   5 71 53
   5 72 84
   5 73 87
   5 74 16
   5 75 8
   5 76 91
   5 77 27
   5 78 4
   5 79 37
   5 80 9
   5 81 21
   5 82 90
   5 83 64
   5 84 97
   5 85 51
   5 86 100
   5 87 3
   5 88 26
   5 89 81
   5 90 63
   5 91 88
   5 92 62
   5 93 17
   5 94 57
   5 95 86
   5 96 80
   5 97 34
   5 98 21
   5 99 22
   5 100 35
   6 1 23
   6 2 82
   6 3 9
   6 4 36
   6 5 31
   6 6 32
   6 7 60
   6 8 63
   6 9 97
   6 10 38
   6 11 80
   6 12 84
   6 13 58
   6 14 85
   6 15 56
   6 16 98
   6 17 52
   6 18 16
   6 19 87
   6 20 66
   6 21 54
   6 22 27
   6 23 61
   6 24 55
   6 25 99
   6 26 6
   6 27 59
   6 28 76
   6 29 90
   6 30 29
   6 31 17
   6 32 79
   6 33 69
   6 34 5
   6 35 2
   6 36 3
   6 37 63
   6 38 84
   6 39 89
   6 40 60
   6 41 58
   6 42 54
   6 43 54
   6 44 91
   6 45 40
   6 46 100
   6 47 63
   6 48 21
   6 49 25
   6 50 81
   6 51 1
   6 52 92
   6 53 93
   6 54 60
   6 55 64
   6 56 92
   6 57 45
   6 58 25
   6 59 87
   6 60 40
   6 61 8
   6 62 38
   6 63 3
   6 64 64
   6 65 30
   6 66 38
   6 67 78
   6 68 27
   6 69 44
   6 70 95
   6 71 44
   6 72 27
   6 73 58
   6 74 69
   6 75 95
   6 76 96
   6 77 56
   6 78 53
   6 79 70
   6 80 25
   6 81 90
   6 82 73
   6 83 1
   6 84 56
   6 85 68
   6 86 30
   6 87 76
   6 88 74
   6 89 30
   6 90 55
   6 91 19
   6 92 56
   6 93 64
   6 94 100
   6 95 77
   6 96 66
   6 97 73
   6 98 24
   6 99 64
   6 100 46
   7 1 63
   7 2 48
   7 3 56
   7 4 88
   7 5 66
   7 6 50
   7 7 48
   7 8 4
   7 9 20
   7 10 37
   7 11 27
   7 12 99
   7 13 12
   7 14 57
   7 15 62
   7 16 36
   7 17 15
   7 18 64
   7 19 90
   7 20 35
   7 21 41
   7 22 51
   7 23 2
   7 24 88
   7 25 93
   7 26 69
   7 27 14
   7 28 29
   7 29 5
   7 30 39
   7 31 47
   7 32 9
   7 33 54
   7 34 51
   7 35 33
   7 36 2
   7 37 22
   7 38 83
   7 39 26
   7 40 100
   7 41 79
   7 42 65
   7 43 65
   7 44 97
   7 45 74
   7 46 65
   7 47 34
   7 48 8
   7 49 71
   7 50 33
   7 51 57
   7 52 99
   7 53 5
   7 54 53
   7 55 30
   7 56 35
   7 57 52
   7 58 30
   7 59 46
   7 60 72
   7 61 67
   7 62 26
   7 63 43
   7 64 5
   7 65 35
   7 66 20
   7 67 75
   7 68 24
   7 69 88
   7 70 39
   7 71 52
   7 72 45
   7 73 93
   7 74 92
   7 75 11
   7 76 83
   7 77 21
   7 78 36
   7 79 98
   7 80 78
   7 81 23
   7 82 71
   7 83 7
   7 84 42
   7 85 53
   7 86 50
   7 87 34
   7 88 52
   7 89 23
   7 90 50
   7 91 60
   7 92 6
   7 93 70
   7 94 64
   7 95 48
   7 96 63
   7 97 30
   7 98 4
   7 99 23
   7 100 30
   8 1 46
   8 2 50
   8 3 48
   8 4 69
   8 5 3
   8 6 20
   8 7 66
   8 8 96
   8 9 8
   8 10 89
   8 11 8
   8 12 72
   8 13 30
   8 14 67
   8 15 91
   8 16 47
   8 17 87
   8 18 44
   8 19 67
   8 20 17
   8 21 45
   8 22 29
   8 23 41
   8 24 30
   8 25 74
   8 26 71
   8 27 51
   8 28 76
   8 29 92
   8 30 87
   8 31 83
   8 32 2
   8 33 26
   8 34 67
   8 35 71
   8 36 32
   8 37 9
   8 38 89
   8 39 34
   8 40 2
   8 41 44
   8 42 83
   8 43 85
   8 44 74
   8 45 21
   8 46 58
   8 47 67
   8 48 96
   8 49 1
   8 50 86
   8 51 62
   8 52 5
   8 53 89
   8 54 43
   8 55 17
   8 56 81
   8 57 76
   8 58 81
   8 59 72
   8 60 68
   8 61 2
   8 62 4
   8 63 53
   8 64 85
   8 65 19
   8 66 55
   8 67 94
   8 68 100
   8 69 93
   8 70 23
   8 71 100
   8 72 49
   8 73 88
   8 74 7
   8 75 65
   8 76 70
   8 77 78
   8 78 74
   8 79 61
   8 80 88
   8 81 92
   8 82 58
   8 83 58
   8 84 15
   8 85 91
   8 86 45
   8 87 24
   8 88 23
   8 89 50
   8 90 68
   8 91 12
   8 92 38
   8 93 52
   8 94 82
   8 95 79
   8 96 35
   8 97 37
   8 98 71
   8 99 26
   8 100 2
   9 1 34
   9 2 75
   9 3 45
   9 4 71
   9 5 40
   9 6 28
   9 7 75
   9 8 78
   9 9 3
   9 10 98
   9 11 87
   9 12 14
   9 13 48
   9 14 36
   9 15 70
   9 16 70
   9 17 43
   9 18 11
   9 19 14
   9 20 99
   9 21 1
   9 22 70
   9 23 69
   9 24 50
   9 25 25
   9 26 6
   9 27 50
   9 28 32
   9 29 25
   9 30 24
   9 31 63
   9 32 53
   9 33 17
   9 34 48
   9 35 46
   9 36 28
   9 37 64
   9 38 94
   9 39 15
   9 40 7
   9 41 21
   9 42 17
   9 43 31
   9 44 35
   9 45 69
   9 46 18
   9 47 95
   9 48 7
   9 49 57
   9 50 3
   9 51 62
   9 52 80
   9 53 81
   9 54 19
   9 55 43
   9 56 81
   9 57 67
   9 58 42
   9 59 88
   9 60 68
   9 61 75
   9 62 90
   9 63 89
   9 64 85
   9 65 75
   9 66 11
   9 67 51
   9 68 92
   9 69 36
   9 70 82
   9 71 73
   9 72 71
   9 73 9
   9 74 26
   9 75 44
   9 76 69
   9 77 2
   9 78 51
   9 79 70
   9 80 97
   9 81 40
   9 82 43
   9 83 29
   9 84 65
   9 85 71
   9 86 62
   9 87 59
   9 88 74
   9 89 6
   9 90 27
   9 91 10
   9 92 5
   9 93 66
   9 94 72
   9 95 40
   9 96 34
   9 97 34
   9 98 26
   9 99 55
   9 100 91
   10 1 23
   10 2 21
   10 3 75
   10 4 34
   10 5 96
   10 6 7
   10 7 18
   10 8 19
   10 9 70
   10 10 15
   10 11 69
   10 12 50
   10 13 8
   10 14 91
   10 15 91
   10 16 39
   10 17 31
   10 18 41
   10 19 63
   10 20 42
   10 21 9
   10 22 28
   10 23 49
   10 24 26
   10 25 100
   10 26 96
   10 27 21
   10 28 81
   10 29 24
   10 30 86
   10 31 34
   10 32 87
   10 33 62
   10 34 81
   10 35 88
   10 36 36
   10 37 75
   10 38 74
   10 39 36
   10 40 76
   10 41 62
   10 42 49
   10 43 22
   10 44 87
   10 45 19
   10 46 37
   10 47 91
   10 48 86
   10 49 97
   10 50 61
   10 51 84
   10 52 83
   10 53 51
   10 54 31
   10 55 28
   10 56 60
   10 57 99
   10 58 97
   10 59 40
   10 60 72
   10 61 9
   10 62 26
   10 63 32
   10 64 70
   10 65 24
   10 66 26
   10 67 2
   10 68 88
   10 69 78
   10 70 70
   10 71 61
   10 72 51
   10 73 65
   10 74 8
   10 75 45
   10 76 61
   10 77 39
   10 78 41
   10 79 56
   10 80 86
   10 81 41
   10 82 96
   10 83 90
   10 84 37
   10 85 34
   10 86 24
   10 87 79
   10 88 45
   10 89 63
   10 90 62
   10 91 58
   10 92 27
   10 93 83
   10 94 4
   10 95 80
   10 96 19
   10 97 38
   10 98 98
   10 99 21
   10 100 61
   11 1 98
   11 2 25
   11 3 88
   11 4 87
   11 5 68
   11 6 16
   11 7 71
   11 8 83
   11 9 15
   11 10 84
   11 11 12
   11 12 45
   11 13 12
   11 14 15
   11 15 77
   11 16 95
   11 17 85
   11 18 60
   11 19 75
   11 20 100
   11 21 67
   11 22 34
   11 23 26
   11 24 4
   11 25 83
   11 26 40
   11 27 65
   11 28 6
   11 29 31
   11 30 100
   11 31 15
   11 32 80
   11 33 82
   11 34 70
   11 35 94
   11 36 42
   11 37 26
   11 38 93
   11 39 82
   11 40 66
   11 41 22
   11 42 42
   11 43 89
   11 44 82
   11 45 7
   11 46 98
   11 47 48
   11 48 6
   11 49 60
   11 50 52
   11 51 4
   11 52 82
   11 53 61
   11 54 20
   11 55 56
   11 56 84
   11 57 91
   11 58 14
   11 59 75
   11 60 69
   11 61 60
   11 62 8
   11 63 81
   11 64 70
   11 65 20
   11 66 72
   11 67 8
   11 68 40
   11 69 52
   11 70 74
   11 71 10
   11 72 12
   11 73 49
   11 74 63
   11 75 83
   11 76 60
   11 77 81
   11 78 33
   11 79 84
   11 80 97
   11 81 18
   11 82 32
   11 83 51
   11 84 58
   11 85 79
   11 86 80
   11 87 43
   11 88 56
   11 89 93
   11 90 85
   11 91 46
   11 92 13
   11 93 71
   11 94 66
   11 95 8
   11 96 70
   11 97 86
   11 98 76
   11 99 71
   11 100 19
   12 1 86
   12 2 37
   12 3 57
   12 4 73
   12 5 3
   12 6 79
   12 7 63
   12 8 9
   12 9 5
   12 10 40
   12 11 100
   12 12 95
   12 13 69
   12 14 35
   12 15 61
   12 16 8
   12 17 62
   12 18 22
   12 19 15
   12 20 100
   12 21 60
   12 22 63
   12 23 35
   12 24 61
   12 25 51
   12 26 64
   12 27 75
   12 28 54
   12 29 75
   12 30 32
   12 31 60
   12 32 16
   12 33 66
   12 34 70
   12 35 37
   12 36 59
   12 37 89
   12 38 5
   12 39 50
   12 40 40
   12 41 3
   12 42 84
   12 43 11
   12 44 96
   12 45 64
   12 46 72
   12 47 37
   12 48 97
   12 49 40
   12 50 66
   12 51 89
   12 52 77
   12 53 74
   12 54 95
   12 55 24
   12 56 3
   12 57 45
   12 58 12
   12 59 19
   12 60 14
   12 61 34
   12 62 29
   12 63 9
   12 64 92
   12 65 38
   12 66 76
   12 67 82
   12 68 97
   12 69 24
   12 70 43
   12 71 66
   12 72 24
   12 73 46
   12 74 79
   12 75 3
   12 76 29
   12 77 37
   12 78 75
   12 79 94
   12 80 9
   12 81 36
   12 82 90
   12 83 57
   12 84 66
   12 85 63
   12 86 37
   12 87 7
   12 88 71
   12 89 30
   12 90 79
   12 91 63
   12 92 100
   12 93 63
   12 94 64
   12 95 59
   12 96 43
   12 97 60
   12 98 12
   12 99 61
   12 100 16
   13 1 44
   13 2 51
   13 3 5
   13 4 93
   13 5 99
   13 6 4
   13 7 96
   13 8 27
   13 9 57
   13 10 36
   13 11 47
   13 12 77
   13 13 28
   13 14 51
   13 15 26
   13 16 27
   13 17 86
   13 18 23
   13 19 49
   13 20 20
   13 21 46
   13 22 63
   13 23 73
   13 24 17
   13 25 13
   13 26 19
   13 27 94
   13 28 95
   13 29 50
   13 30 75
   13 31 94
   13 32 55
   13 33 29
   13 34 60
   13 35 47
   13 36 21
   13 37 63
   13 38 99
   13 39 11
   13 40 35
   13 41 90
   13 42 19
   13 43 43
   13 44 7
   13 45 15
   13 46 4
   13 47 63
   13 48 2
   13 49 37
   13 50 17
   13 51 27
   13 52 1
   13 53 46
   13 54 2
   13 55 44
   13 56 52
   13 57 47
   13 58 54
   13 59 83
   13 60 5
   13 61 21
   13 62 46
   13 63 91
   13 64 46
   13 65 25
   13 66 42
   13 67 74
   13 68 69
   13 69 5
   13 70 32
   13 71 17
   13 72 70
   13 73 18
   13 74 9
   13 75 87
   13 76 84
   13 77 7
   13 78 63
   13 79 70
   13 80 50
   13 81 66
   13 82 12
   13 83 73
   13 84 34
   13 85 90
   13 86 98
   13 87 3
   13 88 11
   13 89 84
   13 90 20
   13 91 14
   13 92 85
   13 93 21
   13 94 75
   13 95 87
   13 96 8
   13 97 42
   13 98 32
   13 99 11
   13 100 75
   14 1 35
   14 2 38
   14 3 89
   14 4 3
   14 5 52
   14 6 69
   14 7 39
   14 8 22
   14 9 50
   14 10 58
   14 11 65
   14 12 80
   14 13 79
   14 14 50
   14 15 15
   14 16 96
   14 17 72
   14 18 30
   14 19 33
   14 20 51
   14 21 75
   14 22 87
   14 23 68
   14 24 82
   14 25 74
   14 26 2
   14 27 81
   14 28 60
   14 29 13
   14 30 5
   14 31 58
   14 32 34
   14 33 21
   14 34 6
   14 35 30
   14 36 100
   14 37 10
   14 38 42
   14 39 71
   14 40 39
   14 41 90
   14 42 11
   14 43 77
   14 44 71
   14 45 46
   14 46 80
   14 47 76
   14 48 26
   14 49 81
   14 50 14
   14 51 20
   14 52 77
   14 53 69
   14 54 71
   14 55 95
   14 56 45
   14 57 80
   14 58 73
   14 59 38
   14 60 84
   14 61 52
   14 62 21
   14 63 100
   14 64 19
   14 65 88
   14 66 60
   14 67 8
   14 68 56
   14 69 51
   14 70 95
   14 71 75
   14 72 58
   14 73 93
   14 74 3
   14 75 27
   14 76 88
   14 77 51
   14 78 56
   14 79 3
   14 80 49
   14 81 10
   14 82 44
   14 83 36
   14 84 27
   14 85 30
   14 86 72
   14 87 84
   14 88 47
   14 89 92
   14 90 77
   14 91 52
   14 92 50
   14 93 40
   14 94 63
   14 95 45
   14 96 71
   14 97 42
   14 98 96
   14 99 65
   14 100 75
   15 1 48
   15 2 12
   15 3 15
   15 4 64
   15 5 89
   15 6 65
   15 7 14
   15 8 55
   15 9 93
   15 10 50
   15 11 52
   15 12 82
   15 13 76
   15 14 34
   15 15 42
   15 16 61
   15 17 85
   15 18 61
   15 19 56
   15 20 99
   15 21 100
   15 22 54
   15 23 7
   15 24 39
   15 25 98
   15 26 20
   15 27 15
   15 28 99
   15 29 84
   15 30 56
   15 31 95
   15 32 69
   15 33 27
   15 34 94
   15 35 58
   15 36 38
   15 37 28
   15 38 2
   15 39 16
   15 40 63
   15 41 30
   15 42 89
   15 43 6
   15 44 99
   15 45 52
   15 46 30
   15 47 9
   15 48 88
   15 49 24
   15 50 17
   15 51 46
   15 52 61
   15 53 43
   15 54 48
   15 55 61
   15 56 56
   15 57 43
   15 58 18
   15 59 7
   15 60 86
   15 61 99
   15 62 20
   15 63 42
   15 64 10
   15 65 100
   15 66 71
   15 67 85
   15 68 60
   15 69 11
   15 70 4
   15 71 15
   15 72 66
   15 73 6
   15 74 72
   15 75 11
   15 76 92
   15 77 67
   15 78 78
   15 79 46
   15 80 97
   15 81 53
   15 82 77
   15 83 46
   15 84 83
   15 85 5
   15 86 80
   15 87 76
   15 88 69
   15 89 27
   15 90 17
   15 91 67
   15 92 82
   15 93 44
   15 94 28
   15 95 52
   15 96 10
   15 97 71
   15 98 19
   15 99 91
   15 100 14
   16 1 64
   16 2 2
   16 3 18
   16 4 42
   16 5 45
   16 6 76
   16 7 2
   16 8 9
   16 9 68
   16 10 68
   16 11 89
   16 12 26
   16 13 54
   16 14 69
   16 15 39
   16 16 79
   16 17 62
   16 18 50
   16 19 63
   16 20 80
   16 21 22
   16 22 75
   16 23 30
   16 24 52
   16 25 22
   16 26 49
   16 27 52
   16 28 46
   16 29 32
   16 30 65
   16 31 17
   16 32 39
   16 33 84
   16 34 88
   16 35 23
   16 36 5
   16 37 38
   16 38 47
   16 39 86
   16 40 49
   16 41 1
   16 42 61
   16 43 47
   16 44 64
   16 45 66
   16 46 80
   16 47 90
   16 48 26
   16 49 17
   16 50 99
   16 51 86
   16 52 60
   16 53 71
   16 54 20
   16 55 38
   16 56 50
   16 57 2
   16 58 13
   16 59 12
   16 60 93
   16 61 26
   16 62 21
   16 63 3
   16 64 35
   16 65 43
   16 66 5
   16 67 33
   16 68 87
   16 69 45
   16 70 48
   16 71 16
   16 72 21
   16 73 86
   16 74 75
   16 75 15
   16 76 86
   16 77 70
   16 78 64
   16 79 25
   16 80 79
   16 81 16
   16 82 90
   16 83 6
   16 84 52
   16 85 64
   16 86 40
   16 87 43
   16 88 39
   16 89 27
   16 90 77
   16 91 60
   16 92 56
   16 93 95
   16 94 76
   16 95 8
   16 96 94
   16 97 3
   16 98 27
   16 99 77
   16 100 96
   17 1 22
   17 2 74
   17 3 35
   17 4 74
   17 5 49
   17 6 41
   17 7 40
   17 8 84
   17 9 86
   17 10 97
   17 11 56
   17 12 64
   17 13 3
   17 14 87
   17 15 26
   17 16 38
   17 17 24
   17 18 18
   17 19 66
   17 20 22
   17 21 72
   17 22 4
   17 23 41
   17 24 23
   17 25 60
   17 26 18
   17 27 70
   17 28 59
   17 29 67
   17 30 54
   17 31 61
   17 32 63
   17 33 77
   17 34 74
   17 35 14
   17 36 34
   17 37 86
   17 38 15
   17 39 11
   17 40 31
   17 41 23
   17 42 33
   17 43 76
   17 44 84
   17 45 1
   17 46 90
   17 47 40
   17 48 89
   17 49 33
   17 50 81
   17 51 29
   17 52 65
   17 53 15
   17 54 69
   17 55 31
   17 56 95
   17 57 15
   17 58 98
   17 59 18
   17 60 25
   17 61 49
   17 62 96
   17 63 85
   17 64 5
   17 65 61
   17 66 71
   17 67 76
   17 68 24
   17 69 36
   17 70 79
   17 71 11
   17 72 7
   17 73 94
   17 74 69
   17 75 84
   17 76 99
   17 77 19
   17 78 52
   17 79 34
   17 80 80
   17 81 46
   17 82 17
   17 83 43
   17 84 14
   17 85 69
   17 86 80
   17 87 54
   17 88 29
   17 89 81
   17 90 19
   17 91 100
   17 92 1
   17 93 14
   17 94 37
   17 95 29
   17 96 90
   17 97 99
   17 98 76
   17 99 29
   17 100 81
   18 1 82
   18 2 14
   18 3 48
   18 4 37
   18 5 42
   18 6 99
   18 7 52
   18 8 30
   18 9 81
   18 10 69
   18 11 57
   18 12 55
   18 13 47
   18 14 75
   18 15 39
   18 16 6
   18 17 51
   18 18 46
   18 19 46
   18 20 59
   18 21 45
   18 22 63
   18 23 51
   18 24 25
   18 25 63
   18 26 18
   18 27 2
   18 28 97
   18 29 24
   18 30 16
   18 31 54
   18 32 35
   18 33 81
   18 34 52
   18 35 61
   18 36 93
   18 37 69
   18 38 100
   18 39 70
   18 40 81
   18 41 93
   18 42 15
   18 43 79
   18 44 79
   18 45 8
   18 46 81
   18 47 7
   18 48 91
   18 49 88
   18 50 55
   18 51 93
   18 52 53
   18 53 87
   18 54 85
   18 55 42
   18 56 76
   18 57 81
   18 58 69
   18 59 7
   18 60 42
   18 61 30
   18 62 32
   18 63 85
   18 64 50
   18 65 58
   18 66 45
   18 67 18
   18 68 93
   18 69 62
   18 70 40
   18 71 51
   18 72 83
   18 73 45
   18 74 5
   18 75 18
   18 76 71
   18 77 78
   18 78 33
   18 79 36
   18 80 5
   18 81 16
   18 82 65
   18 83 39
   18 84 86
   18 85 41
   18 86 48
   18 87 45
   18 88 89
   18 89 38
   18 90 91
   18 91 18
   18 92 73
   18 93 21
   18 94 70
   18 95 14
   18 96 43
   18 97 33
   18 98 4
   18 99 78
   18 100 27
   19 1 71
   19 2 85
   19 3 22
   19 4 21
   19 5 45
   19 6 1
   19 7 59
   19 8 94
   19 9 45
   19 10 21
   19 11 88
   19 12 4
   19 13 93
   19 14 77
   19 15 14
   19 16 40
   19 17 72
   19 18 33
   19 19 51
   19 20 24
   19 21 61
   19 22 76
   19 23 54
   19 24 36
   19 25 50
   19 26 78
   19 27 2
   19 28 49
   19 29 95
   19 30 56
   19 31 77
   19 32 17
   19 33 37
   19 34 47
   19 35 2
   19 36 15
   19 37 52
   19 38 65
   19 39 61
   19 40 85
   19 41 51
   19 42 59
   19 43 8
   19 44 61
   19 45 69
   19 46 11
   19 47 3
   19 48 82
   19 49 15
   19 50 32
   19 51 47
   19 52 54
   19 53 21
   19 54 96
   19 55 58
   19 56 50
   19 57 70
   19 58 58
   19 59 87
   19 60 17
   19 61 42
   19 62 30
   19 63 14
   19 64 41
   19 65 54
   19 66 35
   19 67 90
   19 68 87
   19 69 76
   19 70 86
   19 71 49
   19 72 22
   19 73 92
   19 74 6
   19 75 60
   19 76 52
   19 77 94
   19 78 96
   19 79 10
   19 80 99
   19 81 21
   19 82 77
   19 83 54
   19 84 44
   19 85 44
   19 86 87
   19 87 61
   19 88 53
   19 89 34
   19 90 78
   19 91 24
   19 92 71
   19 93 17
   19 94 71
   19 95 95
   19 96 64
   19 97 54
   19 98 83
   19 99 52
   19 100 78
   20 1 27
   20 2 16
   20 3 96
   20 4 89
   20 5 85
   20 6 85
   20 7 28
   20 8 5
   20 9 7
   20 10 18
   20 11 55
   20 12 31
   20 13 30
   20 14 97
   20 15 16
   20 16 65
   20 17 8
   20 18 92
   20 19 83
   20 20 80
   20 21 48
   20 22 81
   20 23 57
   20 24 77
   20 25 26
   20 26 69
   20 27 52
   20 28 29
   20 29 3
   20 30 16
   20 31 20
   20 32 78
   20 33 79
   20 34 56
   20 35 97
   20 36 43
   20 37 92
   20 38 79
   20 39 29
   20 40 81
   20 41 24
   20 42 67
   20 43 75
   20 44 67
   20 45 80
   20 46 55
   20 47 90
   20 48 86
   20 49 47
   20 50 92
   20 51 42
   20 52 70
   20 53 63
   20 54 69
   20 55 56
   20 56 64
   20 57 68
   20 58 43
   20 59 61
   20 60 74
   20 61 19
   20 62 36
   20 63 1
   20 64 3
   20 65 11
   20 66 99
   20 67 63
   20 68 32
   20 69 13
   20 70 96
   20 71 93
   20 72 83
   20 73 84
   20 74 90
   20 75 97
   20 76 62
   20 77 74
   20 78 61
   20 79 74
   20 80 95
   20 81 83
   20 82 18
   20 83 98
   20 84 98
   20 85 73
   20 86 15
   20 87 19
   20 88 53
   20 89 99
